Timestamp,+10V,+12V,+5V,ACTUATOR_INJ,ACTUATOR_VENT,ARMING,CHARGING,GPS,GSPD +12V,GSPD +24V Current,GSPD +5V Current,GSPD Temperature,GSPD Total Current,Honeywell S-type - Ox Tank,LOGGER,PT-1 Ox Supply,PT-2 Ox Fill IFM,PT-2 Ox Tank,PT-3 Injector Fuel,PT-4 Injector Oxidizer,PT-6 Pneumatics,Power in,SENSOR_INJ,SENSOR_VENT,TELEMETRY,Thermocouple 1,Thermocouple 2,Thermocouple 3,Thermocouple 4,Thermocouple 5,Thermocouple 6,ij,ij hall,ox tank,pneumatics for real,vent temp for real,vv
2250.5753054618835,19.464159,12.094733,4.958304,0.000000,0.000000,0.000000,0.000000,0.000000,11.574132,0.074461,-0.051556,2.339849,1.270196,23.341993,0.000000,729.292355,804.972489,811.698826,-0.479580,-8.091490,-17.930464,23.951183,0.000000,0.000000,0.000000,529.575196,513.090718,534.886256,489.262892,-58.878779,-51.637013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.595398902893,19.467612,12.078211,4.960425,0.000000,0.000000,0.000000,0.000000,0.000000,11.551628,0.070536,-0.052658,2.332994,1.284375,23.467595,0.000000,729.864469,798.769716,797.418623,22.859415,0.464045,-18.112825,23.957940,0.000000,0.000000,0.000000,529.523871,513.118355,534.937581,489.191827,-55.889728,-56.685593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.615394592285,19.458586,12.079641,4.968563,0.000000,0.000000,0.000000,0.000000,0.000000,11.582883,0.063278,-0.052395,2.330216,1.283553,23.725778,0.000000,734.193469,802.859289,825.318491,-8.626211,-12.306349,-18.146794,23.953304,0.000000,0.000000,0.000000,529.492287,513.082822,534.935607,489.284607,-58.620578,-54.219018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.6353998184204,19.466773,12.086694,4.965604,0.000000,0.000000,0.000000,0.000000,0.000000,11.556629,0.081843,-0.045950,2.333915,1.294137,23.118699,0.000000,727.938350,799.347425,808.836495,15.624956,-11.865990,-18.255854,23.951282,0.000000,0.000000,0.000000,529.537690,513.082822,534.939555,489.241178,-55.106014,-55.379402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.657066345215,19.459819,12.087138,4.956036,0.000000,0.000000,0.000000,0.000000,0.000000,11.555379,0.071859,-0.049699,2.334605,1.298041,23.395025,0.000000,729.282819,794.573724,820.537454,-5.732426,-6.141331,-18.046079,23.953304,0.000000,0.000000,0.000000,529.559404,513.147965,534.846776,489.225386,-57.715358,-55.558624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.6771392822266,19.462236,12.082156,4.980498,0.000000,0.000000,0.000000,0.000000,0.000000,11.557879,0.072883,-0.050208,2.325366,1.326298,23.322454,0.000000,729.997963,807.663397,793.486850,-21.522421,-3.530635,-18.037735,23.953353,0.000000,0.000000,0.000000,529.571248,513.104536,534.858620,489.217490,-56.825325,-58.034311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.6988985538483,19.460115,12.087927,4.958847,0.000000,0.000000,0.000000,0.000000,0.000000,11.558504,0.071506,-0.053644,2.331021,1.287663,23.410376,0.000000,731.857335,797.644703,814.246616,-1.674838,1.187491,-18.017473,23.944327,0.000000,0.000000,0.000000,529.575196,513.193368,534.868490,489.260918,-57.420705,-55.412816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.7190017700195,19.468056,12.093451,4.961510,0.000000,0.000000,0.000000,0.000000,0.000000,11.554754,0.064396,-0.053069,2.337499,1.292493,23.508067,0.000000,731.580813,796.337256,812.768269,-11.173998,-2.335376,-17.972181,23.940036,0.000000,0.000000,0.000000,529.628495,513.067030,534.929685,489.197749,-59.297975,-52.879413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.7389936447144,19.471607,12.083044,4.969944,0.000000,0.000000,0.000000,0.000000,0.000000,11.580383,0.071674,-0.047989,2.341428,1.293726,23.519232,0.000000,732.725042,804.425185,786.346748,-21.333695,-7.808402,-18.181360,23.951479,0.000000,0.000000,0.000000,529.585067,513.138095,534.923763,489.247100,-56.424355,-56.157041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.759003639221,19.459030,12.093944,4.957860,0.000000,0.000000,0.000000,0.000000,0.000000,11.570381,0.070063,-0.050455,2.337844,1.250262,23.767646,0.000000,732.191068,786.409781,821.135084,24.809574,-9.098023,-18.153946,23.947385,0.000000,0.000000,0.000000,529.577170,513.120329,534.957322,489.237230,-55.519134,-55.601151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
