Timestamp,Omega S-Type - Ox Tank Mass,PT-2 Ox Tank,PT-3 CC,Thrust,dP
5.390994,39.224084,697.313128,316.622598,844.189494,380.69053
5.40678,40.097842,682.83443,329.419176,846.764208,353.415254
5.422135,39.576374,689.09124,350.327592,918.235177,338.763648
5.453753,39.745552,684.909554,344.951144,915.696993,339.95841
5.46935,39.658973,693.508738,335.880349,850.85451,357.628389
5.484679,39.419137,686.07288,330.503899,867.763587,355.568981
5.499947,39.73361,699.969914,336.367687,917.650842,363.602227
5.530482,39.241997,686.513056,337.263763,912.026664,349.249293
5.547691,39.555475,679.816071,347.717971,849.028482,332.0981
5.561807,39.371369,688.493855,327.658469,881.057121,360.835386
5.592795,38.926529,705.61362,311.607723,918.67342,394.005897
5.610159,39.382316,714.983114,338.788662,912.209262,376.194452
5.623859,39.326586,682.56718,347.403558,841.760863,335.163622
5.6546,39.007137,697.203084,306.15267,889.347311,391.050414
5.669898,38.960364,667.428217,356.097059,938.26677,311.331158
5.684796,38.871794,703.192644,328.334454,875.414666,374.85819
5.700624,38.530452,699.87559,320.033972,857.48301,379.841618
5.731638,39.639069,687.063279,314.217345,886.46218,372.845934
5.746768,39.545524,673.999439,336.320527,934.742533,337.678912
5.761966,38.647882,687.09472,324.797318,829.96469,362.297402
5.793306,38.720529,690.270288,313.777167,851.67624,376.493121
5.809606,39.322606,670.383694,326.65235,894.661081,343.731344
5.824522,38.54737,701.070359,335.86463,902.640849,365.205729
5.854589,38.804123,690.097361,343.064671,842.819966,347.03269
5.869712,39.478847,679.344452,345.815777,862.212446,333.528675
5.885203,38.16622,680.366293,330.299531,903.115615,350.066762
5.919114,38.834973,689.106961,315.757964,900.449606,373.348997
5.930601,39.354451,673.009038,321.433105,834.949759,351.575933
5.946582,38.290616,691.779468,310.192868,850.251928,381.5866
5.960962,38.397099,670.147885,322.800799,893.474161,347.347086
5.992205,39.216123,674.974117,331.965917,899.353981,343.0082
6.009587,38.179157,669.267529,324.451463,835.059324,344.816066
6.022608,38.557321,673.29201,327.658467,822.021445,345.633543
6.05466,39.046944,679.470217,311.198987,863.417627,368.27123
6.06987,38.258771,679.78463,324.655831,919.805565,355.128799
6.084929,38.200056,689.012637,322.392063,857.75692,366.620574
6.10026,38.634944,667.098083,341.131034,819.063264,325.967049
6.130432,38.263747,692.156763,308.542202,843.787759,383.614561
6.146364,38.180152,669.864913,316.386789,904.521661,353.478124
6.16216,38.511543,683.243168,320.018251,859.783821,363.224917
6.192806,38.072674,697.941954,295.997156,801.168135,401.944798
6.207684,37.704462,684.34361,303.747416,829.745559,380.596194
6.224859,38.346346,681.356692,323.916963,885.202226,357.439729
6.254718,38.122433,662.995001,319.798162,878.938917,343.196839
6.269958,37.888568,703.695703,307.960541,826.14827,395.735162
6.286011,37.72337,683.023078,309.658367,785.920765,373.364711
6.301133,37.951264,669.691988,300.100234,798.1004,369.591754
6.331465,38.436906,661.202848,297.883628,839.021822,363.31922
6.347003,37.855727,673.857952,324.671553,861.682917,349.186399
6.362274,37.482539,683.368933,292.397135,806.354072,390.971798
6.392825,38.07765,668.324292,303.543049,772.207236,364.781243
6.408701,37.954249,665.761829,299.314204,788.732836,366.447625
6.425232,37.582056,676.923475,274.758609,805.368019,402.164866
6.442512,37.793032,670.100723,285.810198,861.920296,384.290525
6.469878,38.0468,670.650946,289.221572,798.246481,381.429374
6.485153,37.622858,666.862274,304.140431,755.681648,362.721843
6.500895,37.760191,682.409974,305.696773,817.492875,376.713201
6.531348,37.610916,678.039639,318.178939,859.509917,359.8607
6.546591,37.707447,670.462297,302.772741,830.092527,367.689556
6.56198,37.579071,660.275332,282.25734,791.526686,378.017992
6.593394,37.119303,691.920952,307.583246,772.006381,384.337706
6.608858,37.328288,691.103481,289.017204,781.100023,402.086277
6.623418,37.549216,663.576664,287.680952,772.243764,375.895712
6.653102,37.320327,653.311094,284.772637,831.261185,368.538457
6.668934,36.705313,659.457858,295.887112,829.562971,363.570746
6.68464,37.086462,672.694627,293.54474,783.291264,379.149887
6.700515,38.19508,666.78367,305.964024,734.572692,360.819646
6.730961,36.98595,639.681311,270.278234,768.956914,369.403077
6.746794,36.900366,658.797595,278.547277,803.176786,380.250318
6.762882,37.146172,651.566105,289.284455,812.599122,362.28165
6.793732,37.335254,665.620344,308.007702,807.230574,357.612642
6.810687,37.183989,685.098202,252.325296,777.009712,432.772906
6.824979,36.845632,633.581709,294.440814,733.915312,339.140895
6.840147,37.269573,689.499977,279.380468,757.708527,410.119509
6.870805,36.698347,676.781989,273.705328,797.570848,403.076661
6.886934,36.794878,655.747791,292.051281,810.864383,363.69651
6.902652,36.992916,669.28325,281.518472,809.038343,387.764778
6.933473,36.980974,657.980122,291.909797,751.591321,366.070325
6.948747,36.746115,664.252649,277.761246,741.073369,386.491403
6.963941,36.736163,666.170567,273.705327,741.858564,392.46524
6.994283,36.56997,641.049006,291.485339,726.86681,349.563667
7.009677,37.266588,673.873673,287.649509,819.154582,386.224164
7.025823,36.700337,648.484864,308.274953,822.970995,340.209911
7.041242,36.228627,641.316257,287.743833,772.444633,353.572424
7.0712,36.420695,641.347699,285.935964,739.813408,355.411735
7.086984,36.816772,667.931276,267.904422,726.48335,400.026854
7.102172,36.810801,654.820274,248.929645,751.006991,405.890629
7.133227,36.484385,661.045645,265.939345,757.671995,395.1063
7.148692,36.044521,665.478859,274.978697,800.802927,390.500162
7.164723,36.531158,642.007964,293.183165,800.693405,348.824799
7.180727,36.536134,654.553023,288.561305,770.728142,365.991718
7.211678,36.266444,642.542466,280.873925,753.673,361.668541
7.227348,36.460501,659.22205,277.792687,717.919264,381.429363
7.242929,36.264453,649.475261,269.570806,760.392806,379.904455
7.273689,36.268434,654.694511,265.231918,736.270891,389.462593
7.288913,35.939033,654.553024,276.943773,801.916814,377.609251
7.305052,36.234598,664.755709,294.220726,817.438105,370.534983
7.320761,36.259477,671.04396,279.097499,754.512968,391.946461
7.351415,35.674318,672.647466,268.831937,730.464115,403.815529
7.366982,36.56798,673.339173,267.810098,699.202413,405.529075
7.382577,35.674318,639.099649,273.312311,736.983048,365.787338
7.413641,36.03656,635.31098,278.248586,754.403418,357.062394
7.42887,36.305255,657.272694,273.092224,774.051541,384.18047
7.444984,35.893255,674.738309,271.20575,760.374539,403.532559
7.459704,35.972869,656.72247,259.195204,786.267695,397.527266
7.491069,36.021632,650.072646,282.870445,756.046848,367.202201
7.506108,36.343071,639.225415,282.178736,702.142316,357.046679
7.521529,35.608637,656.565263,254.258932,750.897434,402.306331
7.552664,35.767864,639.980005,286.218935,767.696921,353.76107
7.568083,35.704173,658.404577,271.551605,774.252388,386.852972
7.583555,35.647449,647.934639,272.809254,750.56874,375.125385
7.615128,35.339942,649.239453,281.581354,780.168745,367.658099
7.630253,35.59371,634.147651,276.86517,766.747412,357.282481
7.645563,36.178869,640.545948,283.986608,762.912734,356.55934
7.660896,35.648444,655.95216,264.320122,719.197472,391.632038
7.692026,35.461352,662.822072,266.693936,719.17922,396.128136
7.707667,35.149865,639.728474,267.684334,703.676201,372.04414
